56008.058401192,122316.036370742,290072.191855743,181171.302342881,111995.477749804,192669.364385831,394454.395081867,138761.602933065,239859.148790169,119653.383268045,77648.235602107,121466.104758415,249765.796323206,108700.696569807,225539.242094611,152884.354617631,355654.410005971,253601.453589075,84162.181007515,200958.817012394,219237.726964672,231746.039019443,88469.865776821,302662.178522984,202885.383175234
23631.885703496,18198.975957791,25285.124253819,19795.107557281,23884.963606231,12534.849084929,14147.643974618,21801.091813511,15259.567502153,22413.443118842,23578.026872047,23756.459753722,24287.500645186,25197.047791633,17689.263642203,19344.447949715,20530.378347102,23935.56121401,18515.171883842,17797.235004253,11749.749912283,18470.502800959,11110.9172399,16801.400052659,17008.949901492
6892.94983763,3831.378558304,6688.891709872,6800.112145934,5234.035708418,3600.558080779,3611.212923756,2811.07805568,3140.011738789,6073.9562193,5719.66457609,4712.240261493,9949.637312902,4726.362117987,3575.173910106,6121.841479808,5273.475348945,8359.908313623,4482.72801862,4736.900761528,3133.106339359,4520.288760545,2798.298611077,2743.561600443,4190.469153079
2283.730447194,1814.072680747,3471.728052547,3457.494535224,1206.109253584,1919.999374146,1746.821030491,696.822658854,1588.597068855,2576.072378438,2254.355621008,2477.687418252,2474.567052035,1928.165069897,1911.975596916,1478.479516244,689.257757532,4319.15744098,2488.956831356,1797.715500955,1272.033255248,2239.126932628,1245.588748599,935.441063652,1947.947131507
399.870732652,559.030113241,904.350379474,2220.159309001,547.69640289,1480.796291889,1664.351673055,479.69538255,615.115723059,501.827829038,495.811693157,555.646456254,2474.567052035,459.60129447,955.037969318,1478.479516244,338.088229411,2684.146899423,388.164662016,1426.825589135,1272.033255248,745.337918299,1033.296657335,935.441063652,1438.81591361
399.870732652,367.62473353,557.422754585,2220.159309001,362.460192749,1480.796291889,964.190852648,300.300917839,488.372352668,313.428919692,398.295505916,364.97926457,2012.139307091,425.597963255,394.986363943,1257.332146924,338.088229411,1819.461339396,370.279004184,1426.825589135,1269.861936263,391.253735291,1033.296657335,935.441063652,1438.81591361
360.139298047,335.113426671,519.418457515,1060.0792255,362.460192749,972.599432801,808.719547243,236.828884935,425.005404934,313.428919692,372.733156788,339.59856946,1999.097619912,326.164051797,300.741639689,994.950530272,292.721901264,989.422090606,280.792494918,1072.768034304,881.65409821,328.763081322,673.549875718,935.441063652,1438.81591361
291.501244667,256.130903149,380.076834406,795.374227922,297.915912195,752.28060649,506.93810202,236.828884935,314.671397765,261.624920324,260.85944193,242.584917301,1262.699411449,263.708094868,222.801314886,848.180778417,292.721901264,493.863591984,191.580442668,543.990296792,734.586153787,259.266079282,422.504846869,681.194700686,757.198486483
241.563481663,256.130903149,240.088204669,282.150139667,246.034486274,540.026973309,397.119737438,149.290314839,251.987633856,188.341755739,229.852955079,222.714865572,838.400329859,198.468167733,191.524636258,444.445559393,232.455127987,479.838832531,154.679702907,395.576957771,465.736073075,259.266079282,327.246440982,453.606050375,588.024215964
167.253060856,226.779035158,220.549656807,282.150139667,205.637300014,350.417928159,331.026601231,126.393258313,251.987633856,154.038743234,176.713686786,175.2649144,371.648522798,198.468167733,171.46189672,347.109875217,197.739262701,369.149730132,146.306225132,302.310554519,352.582292434,151.548143437,283.262058725,292.52721624,424.359785308
145.66517234,164.52794317,167.442167303,260.127838712,167.792193335,261.111632909,250.432356881,126.393258313,215.95049424,136.31597963,162.713847197,134.28544615,352.350694032,186.723706076,154.018027693,274.553149189,174.648147473,205.697392746,131.757168804,200.696338939,250.132904998,151.548143437,272.056492505,236.788377305,298.074147128
133.121333105,146.211345339,149.411165614,180.05882801,138.866651985,202.080282809,187.257817183,107.703368408,166.656982053,129.266463291,129.485580352,117.627592449,189.13340398,145.023217387,127.174579366,188.978180923,142.019788985,184.929697025,109.178581703,137.684241215,173.560434407,138.508310066,197.239331973,190.083333128,224.022918717
121.660168741,137.823126262,141.858143339,168.718479795,137.877392704,181.170712379,164.717693651,107.703368408,160.542932245,118.826052785,129.485580352,117.627592449,178.251378446,138.917577906,127.174579366,179.255892715,135.111884572,165.664053643,108.461605802,128.639909103,158.412553601,121.683036166,184.622421496,152.853275675,218.240535467
