"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29"
"1",0,100,158.561557302385,109.949590570933,100,135.584095403804,111.93950868512,100,3218.53797914417,255.494627914927,1492.41953801901,177.909488853709,189.64664107646,380.410547496783,103.484038103102,163.685768962595,356.21867559996,206.181416121167,258.770956639129,317.02678288556,4039.53147056153,462.374355788055,523.157583834366,486.737205028895,950.04110086737,608.38715864151,503.285680653326,565.455595795131,2260.48325951543
"2",0,100,164.117395013355,106.964713399653,100,139.378626451248,104.974795285466,100,567.135672942346,305.241945525999,1145.79500344141,121.870410752962,188.651396143414,375.976761064205,341.24679475553,160.12788353619,183.835578730426,222.990200456698,285.1544097451,310.284845720922,200,448.666602533572,518.746510192219,486.726686529477,975.98401339799,619.136500061981,503.285680653326,571.403029880636,2423.39260455085
"3",0,100,158.561557302385,106.964713399653,100,134.575888224928,105.96975434256,100,1393.513349252,191.542241416315,1573.78101539523,194.112798762063,254.316983015216,353.404389330909,110.403148137443,170.514462722736,328.976169898379,329.9308693721,146.172557224616,315.758674550275,200,463.610600374568,518.608797232779,486.723119144925,1036.81003883282,607.32563483554,400,566.747436211154,2642.20992871525
"4",0,100,158.561557302385,108.95463151384,100.000000313762,136.349353272606,108.95463151384,100,2091.97401240832,201.484518890966,1861.59177600763,223.873549323081,191.636647680847,351.081770838208,114.454420288349,159.796179715544,228.961591334075,220.748163751417,486.452560621306,303.445724248625,1629.19849440895,465.625383175287,517.608430621618,486.734424422131,1118.479609323,605.678866173078,400,564.522897180455,2862.5202573028
"5",0,100,158.561557302385,103.979836228373,100.000001093385,134.712756227105,107.959672456746,100,1250.08890631498,219.67609917546,1160.8811265127,126.653077718013,166.762818146271,305.491690507122,221.803203498033,136.366033154495,376.800982639361,157.832608596171,350.347489211651,309.623115067513,3201.35707995203,466.838365307513,524.706110714061,486.709117274431,988.074210575242,614.313003064634,400,660.088103733518,2295.79782241291
"6",0,100,164.117395013355,106.964713399653,100,136.721330349391,109.949590570933,100,2037.56133207166,237.301950269794,1350.90430670919,194.069092438858,225.45668376518,271.987663376452,251.461390076768,138.586924741678,298.47219080493,194.913106192063,907.204731470332,317.311519001377,200,452.678312771279,513.839428826485,486.739109523339,977.074710007862,610.410181092257,503.285680653326,556.19507925958,2520.33677237339
"7",0,100,158.561557302385,107.959672456746,100,134.924687655543,105.96975434256,100,1164.07109989802,209.726911333705,1318.80309878718,185.821966782597,183.677097897214,279.902776737566,356.313920299551,196.286622217421,345.931345343237,187.13063024641,180.45386770018,319.521320874685,200,440.217893731462,521.10924053042,486.693212453852,1119.76096356237,618.054070559519,400,539.085330381502,2130.04121452824
"8",0,100,158.561557302385,104.974795285466,100,137.945944249404,105.96975434256,100,2351.18636281272,200.490052743636,1530.5212362836,416.921201741071,190.641740683145,352.523993399409,113.881790803895,140.636405748128,227.357622880941,158.954336085478,1144.78142620541,306.239646382662,3328.56431297761,442.206328031338,519.478121642383,486.782980946373,883.571421478943,613.516374736643,553.930242454262,548.659568404012,2496.95363979124
"9",0,100,158.561557302385,110.944549628026,100,136.096962156338,105.96975434256,100,3651.11662797945,151.737648575513,1292.45305710443,130.371961249555,215.514757086819,357.578917727876,439.599330041392,153.501117872604,291.985855248215,205.522749873961,137.3311295216,309.635170897111,3656.30181025952,474.612454384003,518.681504978611,486.753855190703,1013.71795077686,612.95896030627,400,597.09427171587,2126.37614656993
"10",0,100,158.561557302385,112.934467742213,100,135.44007007679,110.944549628026,100,2245.64375780952,197.505405733061,1659.98222257595,171.197494601668,184.671496368415,273.604475062657,649.204163444135,148.608297905603,274.319380939936,195.339004333301,831.186993752122,307.837649710145,200,463.814581713817,529.526958662213,486.728289843716,1089.87635134846,633.528253637221,400,569.408720528083,2258.34285556102
"11",0,100,158.561557302385,109.949590570933,100,138.197796906082,106.964713399653,100,2414.12641133814,135.818267524749,1591.2397247135,275.500893987873,241.383966703663,365.589905853853,351.884760534076,272.499255670641,333.016756300163,168.839178074164,266.140572207302,309.934619402527,200,465.787620497646,521.881652406176,486.727119253143,1035.05494638949,603.015178256489,400,538.496389419024,2339.60813606773
"12",0,100,158.561557302385,107.959672456746,100,136.829410887658,114.924385856399,100,2687.34731952046,187.555249501237,1022.11326202471,254.070031649249,257.302487615355,376.527497901601,593.954518737014,138.586080159338,412.046275793371,200.393876960396,505.789924285546,317.58308986175,2278.53711331781,464.062469856651,521.61433488432,486.750257519379,939.146453335957,613.970724819332,513.975165773641,525.376580362049,2126.00747284518
"13",0,100,158.561557302385,109.949590570933,100,138.677387487616,106.964713399653,100,591.521665044853,143.77802677073,1754.38924990934,229.769386718092,203.57599744542,326.509374375185,253.878978449689,152.808684090768,381.570194792734,185.347950555468,283.39109280194,308.654866489126,200,442.76133365049,523.4373090703,486.774991324363,969.457309993477,643.601426778479,400,544.90420395274,2294.88012230187
"14",0,100,158.561557302385,111.93950868512,100,136.199764732813,106.964713399653,100,737.284883160488,174.621131591007,1419.19514467234,192.352319039101,176.711674276004,400.681131145563,222.063226471227,166.451391792197,293.862651809968,186.025617270257,277.494189746727,310.654070150628,2166.84050945112,470.117142778149,526.825375939389,486.757596962508,900.322295128457,626.501108668382,400,531.318757309154,2104.69264677712
