"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29"
"1",1.4210854715202e-14,100,103.986623854301,668.11065788735,165.605434933198,4027.28791009188,554.687475356612,14053.079345463,3922.86492178657,225.370072682581,1357.67323958135,3952.07109888223,365.749160468201,250.186062543447,867.460424051798,806.661782540054,453.107254387402,332.674378999767,1778.83388081435,805.870593151275,7987.61752094146,1768.51420064882,583.764786441711,487.925532501375,2616.53654739479,740.348371491431,400.000000000001,1484.56115837388,2682.95789188065
"2",1.4210854715202e-14,100,158.561557302385,725.811358108941,180.964023362338,3680.35956548533,805.410221683644,11750.4425231198,6606.08446733678,377.59395431528,2070.68293638878,2614.77507155549,353.811526107538,524.20226806129,914.564472916454,222.001347813403,311.034296824825,303.754862147145,1767.26846661987,402.717819355497,7717.89546272081,3130.06287046947,571.009129469525,486.939800478306,400.000000000001,623.552891036694,503.285680653326,1356.45324528266,2949.45582364383
"3",1.4210854715202e-14,100,158.561557302385,636.273984547148,199.331827080247,3036.02538614587,640.253498591483,16744.0955022336,6472.11177480843,169.646769535406,1945.68907723683,2816.53211556445,290.135226691384,511.15687228756,391.93002575045,522.731959599416,464.497045410511,283.681910555357,1100.78963583195,395.507368714944,5056.45577357556,2219.75069881688,616.92221807616,487.337906560886,2230.01010358979,864.784593167253,503.285680653326,856.988380515095,2559.92013564932
"4",1.4210854715202e-14,100,158.561557302385,622.341369235252,174.479866697693,3798.35237101532,866.102443788887,13515.3495962556,6058.33035300375,267.150253670891,2289.0325138173,1823.11400042802,207.688411785418,421.119745866521,927.57396505224,959.549663149704,339.699984131656,194.34982231112,1204.42834999825,200.000000000001,7631.49972254302,1925.850922431,562.731010741375,487.364520154812,1919.93159816206,674.565503458311,400.000000000001,1023.22154376754,2320.53402822097
"5",1.4210854715202e-14,100,100,753.673515038064,205.236149467737,3969.53071519147,1039.21147256799,12655.816541003,5275.53334752147,344.753757214636,1502.24255333509,3121.94797196391,360.694252060782,567.20668072931,637.940901446376,379.661543681621,344.027575550683,289.479124851854,1635.90426562743,824.420575807917,4472.36628495568,2090.06116296231,595.461853951429,487.480893364336,1519.1374917524,2307.40334030349,400.000000000001,979.34972044824,2256.41780839914
"6",0,100,164.117395013355,670.100857910871,190.145749569866,3612.44608783845,665.609894593257,18780.6505943356,6264.00670780474,343.760465512926,1458.85640543166,2626.3017002134,254.318113135241,345.075934298082,1571.0375581869,729.861209832841,417.010636924153,285.174211722224,1193.18479967511,346.345728891041,6099.03672193782,1366.37061971602,549.828785291933,487.224600236953,1643.85622119423,674.245373343484,513.975165773641,1187.05229275718,2832.16622829656
"7",1.4210854715202e-14,100,158.561557302385,1044.16350676698,196.200316141865,3356.85693871935,907.880831422705,18399.8377999375,6353.89804051559,315.190345420336,1775.83303857826,2558.41449553621,242.524128209364,340.009954913485,714.632823177822,546.157701082605,242.708240464439,282.52151335395,1665.34739542742,347.319289038265,6002.74279491198,2117.511105735,565.401256892051,486.800275705823,400.000000000001,743.027518304777,400.000000000001,1379.92747045036,2602.03368285785
"8",0,100,171.888972909608,835.114024214337,196.579361544894,184.805418457777,797.444795197594,18477.3840853541,5078.13752500223,298.993385904497,1978.84887229238,3257.9005501151,292.663777750882,509.601576671332,921.01950635652,270.691223130584,423.212832751226,520.117662991978,1446.50971830868,387.038282011977,9587.84586441595,2712.62963858553,541.362510359538,487.11600294651,2263.14759126178,1888.48547437419,400.000000000001,812.100803637334,2912.3661389403
"9",1.4210854715202e-14,100,158.561557302385,895.939393660307,189.563495592929,3630.61943355298,798.744122611211,19138.9156333113,4850.61693057279,312.916172026025,1748.72974817942,2485.54123326359,289.141595222698,437.532129878309,1328.90577959826,422.126380363736,356.489753788889,287.34299914261,1756.30060867648,864.776386846146,4283.78497110011,2319.84739620835,584.145619002358,486.924189094801,1559.17119698593,693.842204871455,540.125991638905,1022.80417696497,3519.32831087968
"10",0,100,171.888972909608,670.370750182145,197.273453689726,204.769382556464,906.595322366297,11669.1102330703,5357.52402731361,187.562496416232,1814.59712112072,1253.72680283608,305.059498112805,372.433821130208,1084.18880286142,528.096127520042,403.59060797593,221.903489535678,1355.211086172,349.118624464053,6019.53127734276,1696.74878968317,569.856796865533,487.005108018977,400.000000000001,657.457313026049,400.000000000001,1069.37663107751,2360.59115232748
