"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29"
"1",0,100,158.561557302385,112.934462704394,100,135.913079397439,103.979836228373,100,1835.54870339226,152.739417926384,1675.52612609419,123.157834061885,240.379691249848,361.204199942407,528.748540980838,160.241222898833,368.537000530024,193.550440978434,431.958244682382,319.115046340751,200.000000000001,452.349245116809,519.267138755268,486.715170127534,956.313728628476,623.056793142888,503.285680653326,509.635732427157,2229.00009961893
"2",0,100,158.561557302385,108.95463151384,100.039176682993,139.08422935695,103.979836228373,100,3630.40205615589,221.666384708652,2161.07610750298,275.896176228268,230.437370776427,326.693776914799,841.104961118636,166.752111491702,441.555435021003,271.220015246527,148.168263559884,307.956742062298,200.000000000001,454.678546878381,520.577778636259,486.780511956918,300.000000000004,609.150617646023,400,550.517578827114,2346.30416630418
"3",0,100,100,103.979836228373,100,137.780026925692,103.979836228373,100,1880.53845626628,124.873951238237,1275.9149755169,110.447126273771,229.426827763942,416.061404545668,226.035684120203,147.957509482604,361.565894193043,170.108112315115,519.699541942821,311.025130626345,3492.82205656428,467.141858578148,514.172824640853,486.753871664118,939.458334556744,609.267341748042,513.975165773641,577.36376482561,2335.9405741361
"4",0,100,158.561557302385,108.95463151384,100,135.909047125003,107.959672456746,100,2652.22256593858,251.514525434017,1386.48184904881,156.769679961936,204.571082063469,288.346640406427,103.63505687075,152.986277249472,206.082646800452,174.696270753752,337.409941120878,313.775911638914,2026.15502914017,460.384705409328,522.085025070999,486.724236576888,928.399370141201,615.448900670689,400,550.906041367755,2226.52506173762
"5",0,100,164.117395013355,108.95463151384,100,134.214387536581,108.95463151384,100,2930.70796705108,221.383822388218,1027.93664052921,126.348829890614,187.656820661341,461.917166686313,346.786519124251,135.628416993423,247.521528408977,205.094168278373,275.544182083812,316.857987836214,200.000000000001,464.235273062715,526.108526145781,486.763389222544,1035.24059147388,619.583137454779,400,568.365831789759,2286.10133244844
"6",0,100,158.561557302385,109.949585533114,100,134.727462881478,104.974795285466,100,2562.11789870792,168.651892001393,1436.2667850804,137.01607456681,228.449743132376,677.858764335088,463.647654513372,147.752956429555,351.497638227707,152.675702786198,271.613205123719,307.500494258639,200.000000000001,467.210388091562,519.693273623559,486.753604730037,1021.43638251269,643.474835563439,503.285680653326,562.977344209212,2464.38372348361
"7",0,100,158.561557302385,112.934462704394,100,136.220062676333,109.949590570933,100,1116.16774993949,171.643579466451,1348.99597842761,198.600061923927,225.464656057286,338.889139000567,446.733249725717,154.513503283672,295.726229560724,299.279886953057,537.119231493302,305.986980240509,200.000000000001,460.832422180627,531.756617462967,486.756842711973,996.310964704533,615.489173153482,400,547.044077752145,2180.67672648913
"8",0,100,158.561557302385,108.95463151384,100,138.226915121685,105.96975434256,100,3864.52569083801,181.585834915022,1027.17811955712,139.223920691215,301.078594749904,379.022858606708,490.422932420408,142.240401647406,371.685854672698,222.940825191597,270.391711146473,311.891503645427,2506.67305062651,460.617744348224,523.785194048259,486.779108049429,1060.05546041122,614.427029272063,400,535.525474615321,2441.05512203725
"9",0,100,158.561557302385,107.959672456746,100,137.515721305018,107.959672456746,100,2248.1712029164,162.688998421679,881.127815267492,133.348187947658,188.644116681196,406.297074811755,110.85252998382,157.183746768835,244.909959722077,173.859737489001,261.564591266786,309.936004519095,200.000000000001,453.328452664648,527.733226330693,486.752789683032,913.294612455292,621.923543906712,400,538.668301722001,2160.1272194363
"10",0,100,158.561557302385,105.96975434256,100,135.174988202863,102.98487717128,100,1858.50118030308,205.464782218243,909.498305914775,253.436922185527,218.500018853218,315.281921737218,246.179622867061,176.478895833598,446.44123763352,189.242822866968,791.555885600791,313.89332389935,200,465.282668571901,520.689279334672,486.725505150458,941.604847515188,610.002652901423,503.285680653326,565.777315979753,2416.85892897063
"11",0,100,158.561557302385,108.95463151384,100,134.193519741854,106.964713399653,100,654.30239066114,256.489315681664,714.632665594715,124.819776772684,226.459969380614,418.754958849718,344.9857415886,161.558791450073,296.040744339124,220.201365752439,275.468871091895,308.641327793112,2508.87901900529,456.608419666624,518.539938815177,486.740492007627,1078.93045596933,616.638292743833,400.000000000001,553.978072640495,2319.92251131419
"12",0,100,158.561557302385,108.954626476021,100.000000035834,136.905507062501,110.944549628026,100,2187.34745903276,142.78303217513,1191.625356632,139.634826660827,239.371491263377,437.232051428204,102.918973778931,162.207757068866,285.721806578104,166.929100334468,821.741312822678,304.47568253517,4064.23446316372,448.236130737457,519.982131354772,486.765262754067,1036.79002384894,623.117504972913,503.285680653326,584.144485983285,2291.34588461969
"13",0,100,158.561557302385,108.95463151384,100,137.043072063154,108.95463151384,100,3748.33084137273,155.724193194972,1872.45982724187,124.631437509374,265.2628966669,304.831306063805,457.970874638452,161.183152781145,438.351023328808,216.972380382771,1558.90525704957,316.122073519184,2894.51820825709,464.620569012164,518.718377140365,486.740492007627,1043.95088537937,620.108986791812,400,542.945370379164,2180.36598821979
"14",0,100,158.561557302385,106.964713399653,100.00000003464,137.119100203818,106.964713399653,100,1219.7147487101,136.81340441647,1212.58691444536,186.434817499723,178.700667230989,481.503178959746,375.201647514966,283.443597170761,302.280342120568,278.838086229569,178.429010391716,307.074648244382,200.000000000001,447.16384985504,520.636676112309,486.75317810316,880.292280823098,609.626571216394,400,564.680696657365,2535.51193703864
"15",0,100,158.561557302385,102.98487717128,100,137.855092032253,107.959672456746,100,3010.03057026108,286.337478986433,1838.91315675256,113.08405220529,199.592903155609,502.923845889702,103.449819702456,192.119843381065,252.296073087805,162.189163120112,506.645621360439,306.915527042989,1557.64572951392,454.276782135281,525.520174833184,486.763823157129,983.138823888045,610.012140447823,400,561.743007217008,2443.01936749766
